1,1.0
50,37.0
100,63.9
150,91.4
200,125.6
250,149.6
300,191.5
350,228.3
400,243.9
450,279.4
500,322.8
550,349.6
600,382.8
650,401.9
700,440.3
750,466.9
800,484.2
850,519.1
900,544.1
950,570.6
1000,579.4
1050,609.6
1100,637.5
1150,664.9
1200,680.1
1250,701.8
1296,704.7
